MetadataType,ComponentName,Namespace,LastModifiedDate
CustomObject,CartRelatedItem,,1970-01-01T00:00:00.000Z
CustomObject,AgentWork,,1970-01-01T00:00:00.000Z
CustomObject,Idea,,1970-01-01T00:00:00.000Z
CustomObject,Lead,,1970-01-01T00:00:00.000Z
CustomObject,OperatingHoursHoliday,,1970-01-01T00:00:00.000Z
CustomObject,UserServicePresence,,1970-01-01T00:00:00.000Z
CustomObject,AiEvaluation,,1970-01-01T00:00:00.000Z
CustomObject,FulfillmentOrderItemTax,,1970-01-01T00:00:00.000Z
CustomObject,AnalyticsUserAttrFuncTkn,,1970-01-01T00:00:00.000Z
CustomObject,UserProvisioningRequest,,1970-01-01T00:00:00.000Z
CustomObject,User,,1970-01-01T00:00:00.000Z
CustomObject,ConversationApiLogObjSum,,1970-01-01T00:00:00.000Z
CustomObject,ProcessException,,1970-01-01T00:00:00.000Z
CustomObject,CaseMilestone,,1970-01-01T00:00:00.000Z
CustomObject,WebCartAdjustmentBasis,,1970-01-01T00:00:00.000Z
CustomObject,ServiceTerritory,,1970-01-01T00:00:00.000Z
CustomObject,FinanceBalanceSnapshot,,1970-01-01T00:00:00.000Z
CustomObject,MessagingSession,,1970-01-01T00:00:00.000Z
CustomObject,Activity,,1970-01-01T00:00:00.000Z
CustomObject,ConsumptionRate,,1970-01-01T00:00:00.000Z
CustomObject,FlowOrchestrationInstance,,1970-01-01T00:00:00.000Z
CustomObject,DataCommunicationCap,,1970-01-01T00:00:00.000Z
CustomObject,CartValidationOutput,,1970-01-01T00:00:00.000Z
CustomObject,Account,,1970-01-01T00:00:00.000Z
CustomObject,ProblemRelatedItem,,1970-01-01T00:00:00.000Z
CustomObject,DataStream,,1970-01-01T00:00:00.000Z
CustomObject,AiEvalTestCaseResult,,1970-01-01T00:00:00.000Z
CustomObject,CardPaymentMethod,,1970-01-01T00:00:00.000Z
CustomObject,InventoryItemReservation,,1970-01-01T00:00:00.000Z
CustomObject,PromptError,,1970-01-01T00:00:00.000Z
CustomObject,ContactPointTypeConsent,,1970-01-01T00:00:00.000Z
CustomObject,PendingServiceRouting,,1970-01-01T00:00:00.000Z
CustomObject,FlowOrchestrationWorkItem,,1970-01-01T00:00:00.000Z
CustomObject,AuthorizationFormConsent,,1970-01-01T00:00:00.000Z
CustomObject,WorkPlanTemplate,,1970-01-01T00:00:00.000Z
CustomObject,Address,,1970-01-01T00:00:00.000Z
CustomObject,ExtDataShareTarget,,1970-01-01T00:00:00.000Z
CustomObject,MessagingEndUser,,1970-01-01T00:00:00.000Z
CustomObject,TimeSlot,,1970-01-01T00:00:00.000Z
CustomObject,EngagementChannelType,,1970-01-01T00:00:00.000Z
CustomObject,AppointmentTopicTimeSlot,,1970-01-01T00:00:00.000Z
CustomObject,DataLineageDefSyncLog,,1970-01-01T00:00:00.000Z
CustomObject,ContactPointPhone,,1970-01-01T00:00:00.000Z
CustomObject,ReportAnomalyEventStore,,1970-01-01T00:00:00.000Z
CustomObject,ServiceResourceSkill,,1970-01-01T00:00:00.000Z
CustomObject,MktMLPredictionJob,,1970-01-01T00:00:00.000Z
CustomObject,DataQueryWorkspace,,1970-01-01T00:00:00.000Z
CustomObject,ConversationApiLog,,1970-01-01T00:00:00.000Z
CustomObject,Scorecard,,1970-01-01T00:00:00.000Z
